[09:48:30] [Server thread/INFO] (Minecraft) [Player874: Teleported Player874 to -6.500000, 400.000000, 2.500000]
[09:48:30] [Server thread/INFO] (Minecraft) Saving and pausing game...
[09:48:30] [Server thread/INFO] (Minecraft) Saving chunks for level 'ServerLevel[New World]'/minecraft:overworld
[09:48:30] [Server thread/INFO] (Minecraft) Saving chunks for level 'ServerLevel[New World]'/minecraft:the_nether
[09:48:30] [Server thread/INFO] (Minecraft) Saving chunks for level 'ServerLevel[New World]'/gitdminingdim:gitdmining
[09:48:30] [Server thread/INFO] (Minecraft) Saving chunks for level 'ServerLevel[New World]'/minecraft:the_end
[09:48:30] [Render thread/INFO] (Minecraft) [CHAT] Teleported Player874 to -6.500000, 400.000000, 2.500000
[09:48:51] [Render thread/INFO] (Minecraft) Loaded 2 advancements
[09:49:13] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:13] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:13] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:13] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:13] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:13] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:14] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:14] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:14] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:14] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
[09:49:14] [Thread-18/INFO] (Minecraft) OpenGL debug message: id=1282, source=API, type=ERROR, severity=HIGH, message='GL_INVALID_OPERATION error generated. Target buffer must be bound.'
